120	3	397080
92	5	150000
80	2	160160
130	4	235000
69	3	100000
180	4	375000
115	4	310000
299	6	1050000
104	4	204000
162	5	328150
80	2	140000
144	4	299000
130	5	210000
51	1	95000
100	4	169000
190	7	612000
100	4	300000
107	3	301500
100	4	220000
146	4	450000
150	4	285000
96	4	220000
273	7	518000
60	3	227656
176	6	380000
80	4	127000
90	4	179000
75	4	160000
117	4	210000
150	5	300000
90	4	200000
88	3	170000
70	3	130000
80	2	210000
89	3	165000
104	4	180000
147	6	259000
170	6	460000
60	3	140000
99	3	300000
144	4	250000
80	6	157000
144	3	395000
65	4	123000
82	3	168000
119	4	195000
62	1	125760
84	2	195000
65	3	135000
65	4	136000
115	6	350000
180	5	440000
106	4	387000
75	3	133000
118	4	280000
60	3	95000
168	6	310000
83	2	132100
75	4	150000
118	4	170000
86	3	77535
55	3	65000
86	3	102300
120	4	295000
74	3	65000
120	3	217000
85	3	200000
70	2	145000
180	5	328150
200	5	328000
83	1	132100
107	3	301500
103	4	189000
220	4	550000
200	5	820000
78	3	95000
112	4	290000
136	4	450000
115	4	310000
90	4	145000
160	4	260000
42	1	114000
90	5	175000
146	5	320000
75	3	125000
65	2	62500
56	2	120000
60	1	150000
210	7	750000
72	2	145000
183	5	328150
110	4	249000
240	7	530000
85	3	230000
60	2	134000
80	3	155000
176	4	315000
200	6	540000
275	7	455000
95	5	156000
128	4	490000
87	3	170000
130	4	310000
100	4	290000
57	3	73000
125	3	470000
179	6	560000
125	4	507000
46	1	248000
66	2	105000
90	3	220000
70	3	148000
100	4	320000
110	4	480000
100	2	135000
150	4	300000
150	5	190000
140	7	220000
159	4	480000
150	5	240000
160	6	330000
110	3	340000
65	3	98500
105	3	115000
80	3	150000
178	5	280000
110	5	170000
85	4	118000
80	3	180000
87	3	210000
92	3	237000
132	5	160000
70	2	270000
90	2	190000
78	3	105000
105	4	260000
80	3	179000
155	5	380000
125	4	245000
145	4	470000
200	8	540000
86	3	207000
81	2	309400
150	5	459000
78	3	198000
50	1	76990
95	4	189000
145	4	145050
91	4	280000
185	7	315000
100	3	175000
100	3	199000
115	3	270000
85	3	173000
143	3	350000
200	7	350000
113	2	250000
170	3	695000
86	2	185000
83	3	175000
230	7	450000
97	4	210000
130	6	300000
125	3	420709
65	3	124000
134	5	200000
63	2	128000
104	4	101670
130	4	311000
97	3	230000
100	4	159000
164	6	367000
60	2	120000
144	5	200000
70	2	149000
60	2	167000
90	3	190000
60	3	155310
110	3	215000
84	2	120000
70	4	100000
160	5	170000
85	4	117000
130	4	390000
102	3	360000
126	4	450000
90	2	200000
99	3	235530
166	6	480000
161	3	360000
136	4	476000
86	3	297000
270	7	720000
72	4	65000
237	6	520000
90	3	290000
100	4	222000
75	2	132100
100	4	138000
75	3	75000
94	3	210000
85	3	135000
60	4	110000
154	6	298000
55	2	125000
165	4	280000
145	4	145050
138	4	370000
85	4	118000
110	4	208000
150	3	360000
75	2	240000
65	3	98500
92	3	159000
187	6	500000
65	2	288000
55	3	90000
110	3	395000
100	2	112000
110	4	160000
90	2	258850
100	4	230000
115	3	345000
158	4	430000
60	3	100000
164	6	395000
80	3	410000
50	1	199000
126	3	200000
80	2	110000
84	3	145000
127	4	394000
178	7	440000
120	4	187000
208	5	600000
140	3	355000
100	4	200000
176	5	290000
83	2	132100
140	6	175000
65	3	125000
70	1	175000
120	3	192000
96	3	200000
158	4	250000
87	4	332000
134	3	390000
95	3	220000
62	3	135000
100	2	186000
70	2	270000
130	5	545400
63	3	89000
97	1	239500
80	2	217434
83	2	130000
93	4	185000
70	4	114000
87	4	152000
198	7	475000
144	4	340000
92	4	190000
105	3	215000
78	4	190000
305	6	750000
60	2	300000
89	3	61659
131	5	225000
70	4	140000
65	2	169000
75	3	99000
93	4	220000
118	4	170000
130	3	395000
160	3	970000
150	5	1000000
